cou:中国
pro:北京市,中国
cit:东城区,北京市,中国
cit:西城区,北京市,中国
cit:朝阳区,北京市,中国
cit:丰台区,北京市,中国
cit:石景山区,北京市,中国
cit:海淀区,北京市,中国
cit:门头沟区,北京市,中国
cit:房山区,北京市,中国
cit:通州区,北京市,中国
cit:顺义区,北京市,中国
cit:昌平区,北京市,中国
cit:大兴区,北京市,中国
cit:怀柔区,北京市,中国
cit:平谷区,北京市,中国
cit:密云县,北京市,中国
cit:延庆县,北京市,中国
pro:天津市,中国
cit:和平区,天津市,中国
cit:河东区,天津市,中国
cit:河西区,天津市,中国
cit:南开区,天津市,中国
cit:河北区,天津市,中国
cit:红桥区,天津市,中国
cit:东丽区,天津市,中国
cit:西青区,天津市,中国
cit:津南区,天津市,中国
cit:北辰区,天津市,中国
cit:武清区,天津市,中国
cit:宝坻区,天津市,中国
cit:滨海新区,天津市,中国
cit:宁河县,天津市,中国
cit:静海县,天津市,中国
cit:蓟县,天津市,中国
pro:河北省,中国
cit:石家庄市,河北省,中国
dis:桓台县,淄博市,山东省,中国
dis:高青县,淄博市,山东省,中国
dis:沂源县,淄博市,山东省,中国
cit:枣庄市,山东省,中国
dis:市中区,枣庄市,山东省,中国
dis:薛城区,枣庄市,山东省,中国
dis:峄城区,枣庄市,山东省,中国
dis:台儿庄区,枣庄市,山东省,中国
dis:山亭区,枣庄市,山东省,中国
dis:滕州市,枣庄市,山东省,中国
cit:东营市,山东省,中国
dis:东营区,东营市,山东省,中国
dis:河口区,东营市,山东省,中国
dis:垦利县,东营市,山东省,中国
dis:利津县,东营市,山东省,中国
dis:广饶县,东营市,山东省,中国
cit:烟台市,山东省,中国
dis:芝罘区,烟台市,山东省,中国
dis:福山区,烟台市,山东省,中国
dis:牟平区,烟台市,山东省,中国
dis:莱山区,烟台市,山东省,中国
dis:长岛县,烟台市,山东省,中国
dis:龙口市,烟台市,山东省,中国
dis:莱阳市,烟台市,山东省,中国
dis:莱州市,烟台市,山东省,中国
dis:蓬莱市,烟台市,山东省,中国
dis:招远市,烟台市,山东省,中国
dis:栖霞市,烟台市,山东省,中国
dis:海阳市,烟台市,山东省,中国
cit:潍坊市,山东省,中国
dis:潍城区,潍坊市,山东省,中国
dis:寒亭区,潍坊市,山东省,中国
dis:坊子区,潍坊市,山东省,中国
dis:奎文区,潍坊市,山东省,中国
dis:临朐县,潍坊市,山东省,中国
dis:昌乐县,潍坊市,山东省,中国
dis:青州市,潍坊市,山东省,中国
dis:诸城市,潍坊市,山东省,中国
dis:寿光市,潍坊市,山东省,中国
dis:安丘市,潍坊市,山东省,中国
dis:高密市,潍坊市,山东省,中国
dis:昌邑市,潍坊市,山东省,中国
cit:济宁市,山东省,中国
dis:市中区,济宁市,山东省,中国
dis:任城区,济宁市,山东省,中国
dis:微山县,济宁市,山东省,中国
dis:鱼台县,济宁市,山东省,中国
dis:金乡县,济宁市,山东省,中国
dis:嘉祥县,济宁市,山东省,中国
dis:汶上县,济宁市,山东省,中国
dis:泗水县,济宁市,山东省,中国
dis:梁山县,济宁市,山东省,中国
dis:曲阜市,济宁市,山东省,中国
dis:兖州区,济宁市,山东省,中国
dis:邹城市,济宁市,山东省,中国
cit:泰安市,山东省,中国
dis:泰山区,泰安市,山东省,中国
dis:岱岳区,泰安市,山东省,中国
dis:宁阳县,泰安市,山东省,中国
dis:东平县,泰安市,山东省,中国
dis:新泰市,泰安市,山东省,中国
dis:肥城市,泰安市,山东省,中国
cit:威海市,山东省,中国
dis:环翠区,威海市,山东省,中国
dis:文登区,威海市,山东省,中国
dis:荣成市,威海市,山东省,中国
dis:乳山市,威海市,山东省,中国
cit:日照市,山东省,中国
dis:东港区,日照市,山东省,中国
dis:岚山区,日照市,山东省,中国
dis:五莲县,日照市,山东省,中国
dis:莒县,日照市,山东省,中国
cit:莱芜市,山东省,中国
dis:莱城区,莱芜市,山东省,中国
dis:钢城区,莱芜市,山东省,中国
cit:临沂市,山东省,中国
dis:兰山区,临沂市,山东省,中国
dis:罗庄区,临沂市,山东省,中国
dis:河东区,临沂市,山东省,中国
dis:沂南县,临沂市,山东省,中国
dis:郯城县,临沂市,山东省,中国
dis:沂水县,临沂市,山东省,中国
dis:苍山县,临沂市,山东省,中国
dis:费县,临沂市,山东省,中国
dis:平邑县,临沂市,山东省,中国
dis:莒南县,临沂市,山东省,中国
dis:蒙阴县,临沂市,山东省,中国
dis:临沭县,临沂市,山东省,中国
cit:德州市,山东省,中国
dis:德城区,德州市,山东省,中国
dis:陵城区,德州市,山东省,中国
dis:宁津县,德州市,山东省,中国
dis:庆云县,德州市,山东省,中国
dis:临邑县,德州市,山东省,中国
dis:齐河县,德州市,山东省,中国
dis:平原县,德州市,山东省,中国
dis:夏津县,德州市,山东省,中国
dis:武城县,德州市,山东省,中国
dis:乐陵市,德州市,山东省,中国
dis:禹城市,德州市,山东省,中国
cit:聊城市,山东省,中国
dis:东昌府区,聊城市,山东省,中国
dis:阳谷县,聊城市,山东省,中国
dis:莘县,聊城市,山东省,中国
dis:茌平县,聊城市,山东省,中国
dis:东阿县,聊城市,山东省,中国
dis:冠县,聊城市,山东省,中国
dis:高唐县,聊城市,山东省,中国
dis:临清市,聊城市,山东省,中国
cit:滨州市,山东省,中国
dis:滨城区,滨州市,山东省,中国
dis:惠民县,滨州市,山东省,中国
dis:阳信县,滨州市,山东省,中国
dis:无棣县,滨州市,山东省,中国
dis:沾化区,滨州市,山东省,中国
dis:博兴县,滨州市,山东省,中国
dis:邹平县,滨州市,山东省,中国
cit:菏泽市,山东省,中国
dis:牡丹区,菏泽市,山东省,中国
dis:曹县,菏泽市,山东省,中国
dis:单县,菏泽市,山东省,中国
dis:成武县,菏泽市,山东省,中国
dis:巨野县,菏泽市,山东省,中国
dis:郓城县,菏泽市,山东省,中国
dis:鄄城县,菏泽市,山东省,中国
dis:定陶县,菏泽市,山东省,中国
dis:东明县,菏泽市,山东省,中国
pro:河南省,中国
cit:郑州市,河南省,中国
dis:中原区,郑州市,河南省,中国
dis:二七区,郑州市,河南省,中国
dis:管城回族区,郑州市,河南省,中国
dis:金水区,郑州市,河南省,中国
dis:上街区,郑州市,河南省,中国
dis:惠济区,郑州市,河南省,中国
dis:中牟县,郑州市,河南省,中国
dis:巩义市,郑州市,河南省,中国
dis:荥阳市,郑州市,河南省,中国
dis:新密市,郑州市,河南省,中国
dis:新郑市,郑州市,河南省,中国
dis:登封市,郑州市,河南省,中国
cit:开封市,河南省,中国
dis:龙亭区,开封市,河南省,中国
dis:顺河回族区,开封市,河南省,中国
dis:鼓楼区,开封市,河南省,中国
dis:禹王台区,开封市,河南省,中国
dis:金明区,开封市,河南省,中国
dis:杞县,开封市,河南省,中国
dis:通许县,开封市,河南省,中国
dis:尉氏县,开封市,河南省,中国
dis:开封市,开封市,河南省,中国
dis:兰考县,开封市,河南省,中国
cit:洛阳市,河南省,中国
dis:老城区,洛阳市,河南省,中国
dis:西工区,洛阳市,河南省,中国
dis:瀍河回族区,洛阳市,河南省,中国
dis:涧西区,洛阳市,河南省,中国
dis:吉利区,洛阳市,河南省,中国
dis:洛龙区,洛阳市,河南省,中国
dis:孟津县,洛阳市,河南省,中国
dis:新安县,洛阳市,河南省,中国
dis:栾川县,洛阳市,河南省,中国
dis:嵩县,洛阳市,河南省,中国
dis:汝阳县,洛阳市,河南省,中国
dis:宜阳县,洛阳市,河南省,中国
dis:洛宁县,洛阳市,河南省,中国
dis:伊川县,洛阳市,河南省,中国
dis:偃师市,洛阳市,河南省,中国
cit:平顶山市,河南省,中国
dis:新华区,平顶山市,河南省,中国
dis:卫东区,平顶山市,河南省,中国
dis:石龙区,平顶山市,河南省,中国
dis:湛河区,平顶山市,河南省,中国
dis:宝丰县,平顶山市,河南省,中国
dis:叶县,平顶山市,河南省,中国
dis:鲁山县,平顶山市,河南省,中国
dis:郏县,平顶山市,河南省,中国
dis:舞钢市,平顶山市,河南省,中国
dis:汝州市,平顶山市,河南省,中国
cit:安阳市,河南省,中国
dis:文峰区,安阳市,河南省,中国
dis:北关区,安阳市,河南省,中国
dis:殷都区,安阳市,河南省,中国
dis:龙安区,安阳市,河南省,中国
dis:安阳县,安阳市,河南省,中国
dis:汤阴县,安阳市,河南省,中国
dis:滑县,安阳市,河南省,中国
dis:内黄县,安阳市,河南省,中国
dis:林州市,安阳市,河南省,中国
cit:鹤壁市,河南省,中国
dis:鹤山区,鹤壁市,河南省,中国
dis:山城区,鹤壁市,河南省,中国
dis:淇滨区,鹤壁市,河南省,中国
dis:浚县,鹤壁市,河南省,中国
dis:淇县,鹤壁市,河南省,中国
cit:新乡市,河南省,中国
dis:红旗区,新乡市,河南省,中国
dis:卫滨区,新乡市,河南省,中国
dis:凤泉区,新乡市,河南省,中国
dis:牧野区,新乡市,河南省,中国
dis:新乡县,新乡市,河南省,中国
dis:获嘉县,新乡市,河南省,中国
dis:原阳县,新乡市,河南省,中国
dis:延津县,新乡市,河南省,中国
dis:封丘县,新乡市,河南省,中国
dis:长垣县,新乡市,河南省,中国
dis:卫辉市,新乡市,河南省,中国
dis:辉县市,新乡市,河南省,中国
cit:焦作市,河南省,中国
dis:解放区,焦作市,河南省,中国
dis:中站区,焦作市,河南省,中国
dis:马村区,焦作市,河南省,中国
dis:山阳区,焦作市,河南省,中国
dis:修武县,焦作市,河南省,中国
dis:博爱县,焦作市,河南省,中国
dis:武陟县,焦作市,河南省,中国
dis:温县,焦作市,河南省,中国
dis:沁阳市,焦作市,河南省,中国
dis:孟州市,焦作市,河南省,中国
cit:濮阳市,河南省,中国
dis:华龙区,濮阳市,河南省,中国
dis:清丰县,濮阳市,河南省,中国
dis:南乐县,濮阳市,河南省,中国
dis:范县,濮阳市,河南省,中国
dis:台前县,濮阳市,河南省,中国
dis:濮阳县,濮阳市,河南省,中国
cit:许昌市,河南省,中国
dis:魏都区,许昌市,河南省,中国
dis:许昌县,许昌市,河南省,中国
dis:鄢陵县,许昌市,河南省,中国
dis:襄城县,许昌市,河南省,中国
dis:禹州市,许昌市,河南省,中国
dis:长葛市,许昌市,河南省,中国
cit:漯河市,河南省,中国
dis:源汇区,漯河市,河南省,中国
dis:郾城区,漯河市,河南省,中国
dis:召陵区,漯河市,河南省,中国
dis:舞阳县,漯河市,河南省,中国
dis:临颍县,漯河市,河南省,中国
cit:三门峡市,河南省,中国
dis:湖滨区,三门峡市,河南省,中国
dis:渑池县,三门峡市,河南省,中国
dis:陕县,三门峡市,河南省,中国
dis:卢氏县,三门峡市,河南省,中国
dis:义马市,三门峡市,河南省,中国
dis:灵宝市,三门峡市,河南省,中国
cit:南阳市,河南省,中国
dis:宛城区,南阳市,河南省,中国
dis:卧龙区,南阳市,河南省,中国
dis:南召县,南阳市,河南省,中国
dis:方城县,南阳市,河南省,中国
dis:西峡县,南阳市,河南省,中国
dis:镇平县,南阳市,河南省,中国
dis:内乡县,南阳市,河南省,中国
dis:淅川县,南阳市,河南省,中国
dis:社旗县,南阳市,河南省,中国
dis:唐河县,南阳市,河南省,中国
dis:新野县,南阳市,河南省,中国
dis:桐柏县,南阳市,河南省,中国
dis:邓州市,南阳市,河南省,中国
cit:商丘市,河南省,中国
dis:梁园区,商丘市,河南省,中国
dis:睢阳区,商丘市,河南省,中国
dis:民权县,商丘市,河南省,中国
dis:睢县,商丘市,河南省,中国
dis:宁陵县,商丘市,河南省,中国
dis:柘城县,商丘市,河南省,中国
dis:虞城县,商丘市,河南省,中国
dis:夏邑县,商丘市,河南省,中国
dis:永城市,商丘市,河南省,中国
cit:信阳市,河南省,中国
dis:浉河区,信阳市,河南省,中国
dis:平桥区,信阳市,河南省,中国
dis:罗山县,信阳市,河南省,中国
dis:光山县,信阳市,河南省,中国
dis:新县,信阳市,河南省,中国
dis:商城县,信阳市,河南省,中国
dis:固始县,信阳市,河南省,中国
dis:潢川县,信阳市,河南省,中国
dis:淮滨县,信阳市,河南省,中国
dis:息县,信阳市,河南省,中国
cit:周口市,河南省,中国
dis:川汇区,周口市,河南省,中国
dis:扶沟县,周口市,河南省,中国
dis:西华县,周口市,河南省,中国
dis:商水县,周口市,河南省,中国
dis:沈丘县,周口市,河南省,中国
dis:郸城县,周口市,河南省,中国
dis:淮阳县,周口市,河南省,中国
dis:太康县,周口市,河南省,中国
dis:鹿邑县,周口市,河南省,中国
dis:项城市,周口市,河南省,中国
cit:驻马店市,河南省,中国
dis:驿城区,驻马店市,河南省,中国
dis:西平县,驻马店市,河南省,中国
dis:上蔡县,驻马店市,河南省,中国
dis:平舆县,驻马店市,河南省,中国
dis:正阳县,驻马店市,河南省,中国
dis:确山县,驻马店市,河南省,中国
dis:泌阳县,驻马店市,河南省,中国
dis:汝南县,驻马店市,河南省,中国
dis:遂平县,驻马店市,河南省,中国
dis:新蔡县,驻马店市,河南省,中国
cit:济源市,河南省,中国
pro:湖北省,中国
cit:武汉市,湖北省,中国
dis:江岸区,武汉市,湖北省,中国
dis:江汉区,武汉市,湖北省,中国
dis:硚口区,武汉市,湖北省,中国
dis:汉阳区,武汉市,湖北省,中国
dis:武昌区,武汉市,湖北省,中国
dis:青山区,武汉市,湖北省,中国
dis:洪山区,武汉市,湖北省,中国
dis:东西湖区,武汉市,湖北省,中国
dis:汉南区,武汉市,湖北省,中国
dis:蔡甸区,武汉市,湖北省,中国
dis:江夏区,武汉市,湖北省,中国
dis:黄陂区,武汉市,湖北省,中国
dis:新洲区,武汉市,湖北省,中国
cit:黄石市,湖北省,中国
dis:黄石港区,黄石市,湖北省,中国
dis:西塞山区,黄石市,湖北省,中国
dis:下陆区,黄石市,湖北省,中国
dis:铁山区,黄石市,湖北省,中国
dis:阳新县,黄石市,湖北省,中国
dis:大冶市,黄石市,湖北省,中国
cit:十堰市,湖北省,中国
dis:茅箭区,十堰市,湖北省,中国
dis:张湾区,十堰市,湖北省,中国
dis:郧阳区,十堰市,湖北省,中国
dis:郧西县,十堰市,湖北省,中国
dis:竹山县,十堰市,湖北省,中国
dis:竹溪县,十堰市,湖北省,中国
dis:房县,十堰市,湖北省,中国
dis:丹江口市,十堰市,湖北省,中国
cit:宜昌市,湖北省,中国
dis:西陵区,宜昌市,湖北省,中国
dis:伍家岗区,宜昌市,湖北省,中国
dis:点军区,宜昌市,湖北省,中国
dis:猇亭区,宜昌市,湖北省,中国
dis:夷陵区,宜昌市,湖北省,中国
dis:远安县,宜昌市,湖北省,中国
dis:兴山县,宜昌市,湖北省,中国
dis:秭归县,宜昌市,湖北省,中国
dis:长阳土家族自治县,宜昌市,湖北省,中国
dis:五峰土家族自治县,宜昌市,湖北省,中国
dis:宜都市,宜昌市,湖北省,中国
dis:当阳市,宜昌市,湖北省,中国
dis:枝江市,宜昌市,湖北省,中国
cit:襄阳市,湖北省,中国
dis:襄城区,襄阳市,湖北省,中国
dis:樊城区,襄阳市,湖北省,中国
dis:襄州区,襄阳市,湖北省,中国
dis:南漳县,襄阳市,湖北省,中国
dis:谷城县,襄阳市,湖北省,中国
dis:保康县,襄阳市,湖北省,中国
dis:老河口市,襄阳市,湖北省,中国
dis:枣阳市,襄阳市,湖北省,中国
dis:宜城市,襄阳市,湖北省,中国
cit:鄂州市,湖北省,中国
dis:梁子湖区,鄂州市,湖北省,中国
dis:华容区,鄂州市,湖北省,中国
dis:鄂城区,鄂州市,湖北省,中国
cit:荆门市,湖北省,中国
dis:东宝区,荆门市,湖北省,中国
dis:掇刀区,荆门市,湖北省,中国
dis:京山县,荆门市,湖北省,中国
dis:沙洋县,荆门市,湖北省,中国
dis:钟祥市,荆门市,湖北省,中国
cit:孝感市,湖北省,中国
dis:孝南区,孝感市,湖北省,中国
dis:孝昌县,孝感市,湖北省,中国
dis:大悟县,孝感市,湖北省,中国
dis:云梦县,孝感市,湖北省,中国
dis:应城市,孝感市,湖北省,中国
dis:安陆市,孝感市,湖北省,中国
dis:汉川市,孝感市,湖北省,中国
cit:荆州市,湖北省,中国
dis:沙市区,荆州市,湖北省,中国
dis:荆州区,荆州市,湖北省,中国
dis:公安县,荆州市,湖北省,中国
dis:监利县,荆州市,湖北省,中国
dis:江陵县,荆州市,湖北省,中国
dis:石首市,荆州市,湖北省,中国
dis:洪湖市,荆州市,湖北省,中国
dis:松滋市,荆州市,湖北省,中国
cit:黄冈市,湖北省,中国
dis:黄州区,黄冈市,湖北省,中国
dis:团风县,黄冈市,湖北省,中国
dis:红安县,黄冈市,湖北省,中国
dis:罗田县,黄冈市,湖北省,中国
dis:英山县,黄冈市,湖北省,中国
dis:浠水县,黄冈市,湖北省,中国
dis:蕲春县,黄冈市,湖北省,中国
dis:黄梅县,黄冈市,湖北省,中国
dis:麻城市,黄冈市,湖北省,中国
dis:武穴市,黄冈市,湖北省,中国
cit:咸宁市,湖北省,中国
dis:咸安区,咸宁市,湖北省,中国
dis:嘉鱼县,咸宁市,湖北省,中国
dis:通城县,咸宁市,湖北省,中国
dis:崇阳县,咸宁市,湖北省,中国
dis:通山县,咸宁市,湖北省,中国
dis:赤壁市,咸宁市,湖北省,中国
cit:随州市,湖北省,中国
dis:曾都区,随州市,湖北省,中国
dis:随县,随州市,湖北省,中国
dis:广水市,随州市,湖北省,中国
cit:恩施土家族苗族自治州,湖北省,中国
dis:恩施市,恩施土家族苗族自治州,湖北省,中国
dis:利川市,恩施土家族苗族自治州,湖北省,中国
dis:建始县,恩施土家族苗族自治州,湖北省,中国
dis:巴东县,恩施土家族苗族自治州,湖北省,中国
dis:宣恩县,恩施土家族苗族自治州,湖北省,中国
dis:咸丰县,恩施土家族苗族自治州,湖北省,中国
dis:来凤县,恩施土家族苗族自治州,湖北省,中国
dis:鹤峰县,恩施土家族苗族自治州,湖北省,中国
cit:仙桃市,湖北省,中国
cit:潜江市,湖北省,中国
cit:天门市,湖北省,中国
cit:神农架林区,湖北省,中国
pro:湖南省,中国
cit:长沙市,湖南省,中国
dis:芙蓉区,长沙市,湖南省,中国
dis:天心区,长沙市,湖南省,中国
dis:岳麓区,长沙市,湖南省,中国
dis:开福区,长沙市,湖南省,中国
dis:雨花区,长沙市,湖南省,中国
dis:望城区,长沙市,湖南省,中国
dis:长沙县,长沙市,湖南省,中国
dis:宁乡县,长沙市,湖南省,中国
dis:浏阳市,长沙市,湖南省,中国
cit:株洲市,湖南省,中国
dis:荷塘区,株洲市,湖南省,中国
dis:芦淞区,株洲市,湖南省,中国
dis:石峰区,株洲市,湖南省,中国
dis:天元区,株洲市,湖南省,中国
dis:株洲县,株洲市,湖南省,中国
dis:攸县,株洲市,湖南省,中国
dis:茶陵县,株洲市,湖南省,中国
dis:炎陵县,株洲市,湖南省,中国
dis:醴陵市,株洲市,湖南省,中国
cit:湘潭市,湖南省,中国
dis:雨湖区,湘潭市,湖南省,中国
dis:岳塘区,湘潭市,湖南省,中国
dis:湘潭县,湘潭市,湖南省,中国
dis:湘乡市,湘潭市,湖南省,中国
dis:韶山市,湘潭市,湖南省,中国
cit:衡阳市,湖南省,中国
dis:珠晖区,衡阳市,湖南省,中国
dis:雁峰区,衡阳市,湖南省,中国
dis:石鼓区,衡阳市,湖南省,中国
dis:蒸湘区,衡阳市,湖南省,中国
dis:南岳区,衡阳市,湖南省,中国
dis:衡阳县,衡阳市,湖南省,中国
dis:衡南县,衡阳市,湖南省,中国
dis:衡山县,衡阳市,湖南省,中国
dis:衡东县,衡阳市,湖南省,中国
dis:祁东县,衡阳市,湖南省,中国
dis:耒阳市,衡阳市,湖南省,中国
dis:常宁市,衡阳市,湖南省,中国
cit:邵阳市,湖南省,中国
dis:双清区,邵阳市,湖南省,中国
dis:大祥区,邵阳市,湖南省,中国
dis:北塔区,邵阳市,湖南省,中国
dis:邵东县,邵阳市,湖南省,中国
dis:新邵县,邵阳市,湖南省,中国
dis:邵阳县,邵阳市,湖南省,中国
dis:隆回县,邵阳市,湖南省,中国
dis:洞口县,邵阳市,湖南省,中国
dis:绥宁县,邵阳市,湖南省,中国
dis:新宁县,邵阳市,湖南省,中国
dis:城步苗族自治县,邵阳市,湖南省,中国
dis:武冈市,邵阳市,湖南省,中国
cit:岳阳市,湖南省,中国
dis:岳阳楼区,岳阳市,湖南省,中国
dis:云溪区,岳阳市,湖南省,中国
dis:君山区,岳阳市,湖南省,中国
dis:岳阳县,岳阳市,湖南省,中国
dis:华容县,岳阳市,湖南省,中国
dis:湘阴县,岳阳市,湖南省,中国
dis:平江县,岳阳市,湖南省,中国
dis:汨罗市,岳阳市,湖南省,中国
dis:临湘市,岳阳市,湖南省,中国
cit:常德市,湖南省,中国
dis:武陵区,常德市,湖南省,中国
dis:鼎城区,常德市,湖南省,中国
dis:安乡县,常德市,湖南省,中国
dis:汉寿县,常德市,湖南省,中国
dis:澧县,常德市,湖南省,中国
dis:临澧县,常德市,湖南省,中国
dis:桃源县,常德市,湖南省,中国
dis:石门县,常德市,湖南省,中国
dis:津市市,常德市,湖南省,中国
cit:张家界市,湖南省,中国
dis:永定区,张家界市,湖南省,中国
dis:武陵源区,张家界市,湖南省,中国
dis:慈利县,张家界市,湖南省,中国
dis:桑植县,张家界市,湖南省,中国
cit:益阳市,湖南省,中国
dis:资阳区,益阳市,湖南省,中国
dis:赫山区,益阳市,湖南省,中国
dis:南县,益阳市,湖南省,中国
dis:桃江县,益阳市,湖南省,中国
dis:安化县,益阳市,湖南省,中国
dis:沅江市,益阳市,湖南省,中国
cit:郴州市,湖南省,中国
dis:北湖区,郴州市,湖南省,中国
dis:苏仙区,郴州市,湖南省,中国
dis:桂阳县,郴州市,湖南省,中国
dis:宜章县,郴州市,湖南省,中国
dis:永兴县,郴州市,湖南省,中国
dis:嘉禾县,郴州市,湖南省,中国
dis:临武县,郴州市,湖南省,中国
dis:汝城县,郴州市,湖南省,中国
dis:桂东县,郴州市,湖南省,中国
dis:安仁县,郴州市,湖南省,中国
dis:资兴市,郴州市,湖南省,中国
cit:永州市,湖南省,中国
dis:零陵区,永州市,湖南省,中国
dis:冷水滩区,永州市,湖南省,中国
dis:祁阳县,永州市,湖南省,中国
dis:东安县,永州市,湖南省,中国
dis:双牌县,永州市,湖南省,中国
dis:道县,永州市,湖南省,中国
dis:江永县,永州市,湖南省,中国
dis:宁远县,永州市,湖南省,中国
dis:蓝山县,永州市,湖南省,中国
dis:新田县,永州市,湖南省,中国
dis:江华瑶族自治县,永州市,湖南省,中国
cit:怀化市,湖南省,中国
dis:鹤城区,怀化市,湖南省,中国
dis:中方县,怀化市,湖南省,中国
dis:沅陵县,怀化市,湖南省,中国
dis:辰溪县,怀化市,湖南省,中国
dis:溆浦县,怀化市,湖南省,中国
dis:会同县,怀化市,湖南省,中国
dis:麻阳苗族自治县,怀化市,湖南省,中国
dis:新晃侗族自治县,怀化市,湖南省,中国
dis:芷江侗族自治县,怀化市,湖南省,中国
dis:靖州苗族侗族自治县,怀化市,湖南省,中国
dis:通道侗族自治县,怀化市,湖南省,中国
dis:洪江市,怀化市,湖南省,中国
cit:娄底市,湖南省,中国
dis:娄星区,娄底市,湖南省,中国
dis:双峰县,娄底市,湖南省,中国
dis:新化县,娄底市,湖南省,中国
dis:冷水江市,娄底市,湖南省,中国
dis:涟源市,娄底市,湖南省,中国
cit:湘西土家族苗族自治州,湖南省,中国
dis:吉首市,湘西土家族苗族自治州,湖南省,中国
dis:泸溪县,湘西土家族苗族自治州,湖南省,中国
dis:凤凰县,湘西土家族苗族自治州,湖南省,中国
dis:花垣县,湘西土家族苗族自治州,湖南省,中国
dis:保靖县,湘西土家族苗族自治州,湖南省,中国
dis:古丈县,湘西土家族苗族自治州,湖南省,中国
dis:永顺县,湘西土家族苗族自治州,湖南省,中国
dis:龙山县,湘西土家族苗族自治州,湖南省,中国
pro:广东省,中国
cit:广州市,广东省,中国
dis:荔湾区,广州市,广东省,中国
dis:越秀区,广州市,广东省,中国
dis:海珠区,广州市,广东省,中国
dis:天河区,广州市,广东省,中国
dis:白云区,广州市,广东省,中国
dis:黄埔区,广州市,广东省,中国
dis:番禺区,广州市,广东省,中国
dis:花都区,广州市,广东省,中国
dis:南沙区,广州市,广东省,中国
dis:萝岗区,广州市,广东省,中国
dis:增城区,广州市,广东省,中国
dis:从化区,广州市,广东省,中国
cit:韶关市,广东省,中国
dis:武江区,韶关市,广东省,中国
dis:浈江区,韶关市,广东省,中国
dis:曲江区,韶关市,广东省,中国
dis:始兴县,韶关市,广东省,中国
dis:仁化县,韶关市,广东省,中国
dis:翁源县,韶关市,广东省,中国
dis:乳源瑶族自治县,韶关市,广东省,中国
dis:新丰县,韶关市,广东省,中国
dis:乐昌市,韶关市,广东省,中国
dis:南雄市,韶关市,广东省,中国
cit:深圳市,广东省,中国
dis:罗湖区,深圳市,广东省,中国
dis:福田区,深圳市,广东省,中国
dis:南山区,深圳市,广东省,中国
dis:宝安区,深圳市,广东省,中国
dis:龙岗区,深圳市,广东省,中国
dis:盐田区,深圳市,广东省,中国
cit:珠海市,广东省,中国
dis:香洲区,珠海市,广东省,中国
dis:斗门区,珠海市,广东省,中国
dis:金湾区,珠海市,广东省,中国
cit:汕头市,广东省,中国
dis:龙湖区,汕头市,广东省,中国
dis:金平区,汕头市,广东省,中国
dis:濠江区,汕头市,广东省,中国
dis:潮阳区,汕头市,广东省,中国
dis:潮南区,汕头市,广东省,中国
dis:澄海区,汕头市,广东省,中国
dis:南澳县,汕头市,广东省,中国
cit:佛山市,广东省,中国
dis:禅城区,佛山市,广东省,中国
dis:南海区,佛山市,广东省,中国
dis:顺德区,佛山市,广东省,中国
dis:三水区,佛山市,广东省,中国
dis:高明区,佛山市,广东省,中国
cit:江门市,广东省,中国
dis:蓬江区,江门市,广东省,中国
dis:江海区,江门市,广东省,中国
dis:新会区,江门市,广东省,中国
dis:台山市,江门市,广东省,中国
dis:开平市,江门市,广东省,中国
dis:鹤山市,江门市,广东省,中国
dis:恩平市,江门市,广东省,中国
cit:湛江市,广东省,中国
dis:赤坎区,湛江市,广东省,中国
dis:霞山区,湛江市,广东省,中国
dis:坡头区,湛江市,广东省,中国
dis:麻章区,湛江市,广东省,中国
dis:遂溪县,湛江市,广东省,中国
dis:徐闻县,湛江市,广东省,中国
dis:廉江市,湛江市,广东省,中国
dis:雷州市,湛江市,广东省,中国
dis:吴川市,湛江市,广东省,中国
cit:茂名市,广东省,中国
dis:茂南区,茂名市,广东省,中国
dis:茂港区,茂名市,广东省,中国
dis:电白区,茂名市,广东省,中国
dis:高州市,茂名市,广东省,中国
dis:化州市,茂名市,广东省,中国
dis:信宜市,茂名市,广东省,中国
cit:肇庆市,广东省,中国
dis:端州区,肇庆市,广东省,中国
dis:鼎湖区,肇庆市,广东省,中国
dis:广宁县,肇庆市,广东省,中国
dis:怀集县,肇庆市,广东省,中国
dis:封开县,肇庆市,广东省,中国
dis:德庆县,肇庆市,广东省,中国
dis:高要市,肇庆市,广东省,中国
dis:四会市,肇庆市,广东省,中国
cit:惠州市,广东省,中国
dis:惠城区,惠州市,广东省,中国
dis:惠阳区,惠州市,广东省,中国
dis:博罗县,惠州市,广东省,中国
dis:惠东县,惠州市,广东省,中国
dis:龙门县,惠州市,广东省,中国
cit:梅州市,广东省,中国
dis:梅江区,梅州市,广东省,中国
dis:梅县区,梅州市,广东省,中国
dis:大埔县,梅州市,广东省,中国
dis:丰顺县,梅州市,广东省,中国
dis:五华县,梅州市,广东省,中国
dis:平远县,梅州市,广东省,中国
dis:蕉岭县,梅州市,广东省,中国
dis:兴宁市,梅州市,广东省,中国
cit:汕尾市,广东省,中国
dis:城区,汕尾市,广东省,中国
dis:海丰县,汕尾市,广东省,中国
dis:陆河县,汕尾市,广东省,中国
dis:陆丰市,汕尾市,广东省,中国
cit:河源市,广东省,中国
dis:源城区,河源市,广东省,中国
dis:紫金县,河源市,广东省,中国
dis:龙川县,河源市,广东省,中国
